# concept<TAB>term  (one term per line; expansion is bidirectional within a concept)
wrist	手首
wrist	wrist
wrist	कलाई
wrist	मणिबंध
wrist	কব্জি
wrist	মণিবন্ধ
syahi	スィヤヒ
syahi	syahi
syahi	gab
syahi	स्याही
syahi	গাব
maidan	マイダーン
maidan	maidan
maidan	lav
maidan	मैदान
maidan	लव
maidan	ময়দান
kinar	キナール
kinar	kinar
kinar	chat
kinar	किनार
kinar	चाँटी
kinar	কিনার
bayan	バヤン
bayan	bayan
bayan	baya
bayan	duggi
bayan	डग्गा
bayan	बायाँ
bayan	বাঁয়া
ghe	घे
ghe	गे
ghe	ghe
ghe	ঘে
ghe	গে
ka	के
ka	ka
ka	ke
ka	কে
ghissa	घिस्सा
ghissa	ghissa
pressure	圧
pressure	pressure
pressure	दबाव
pressure	চাপ
pressure	modulation
pressure	変調
sustain	減衰
sustain	sustain
sustain	decay
sustain	गूंज
sustain	尾
kaida	カーイダー
kaida	kaida
kaida	kayda
kaida	क़ायदा
kaida	कायदा
taal	ターラ
taal	taal
taal	tala
taal	ताल
taal	তাল
bol	ボル
bol	bol
bol	बोल
bol	বোল
tuning	チューニング
tuning	tuning
tuning	gatta
tuning	gajara
tuning	गजरा
gharana	ガラーナー
gharana	gharana
gharana	घराना
gharana	ঘরানা
